RmsId;ScoringDate;CategoryGroup;Category;Score;TaggedCharacteristics;Status;SharePointLink;SharePointLinkTruncated
232;26/03/2021;Industry;Market Dynamics;20.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Positive demographic, consumer & structural trends"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Limited seasonaility and stable working capital"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/232/;https://c4.sharepoint.com/sites/232
232;26/03/2021;Industry;Intra-Industry Competition;30.000.000.000;"[{""CharacteristicText"":""High barriers to entry"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Highly fragmented market with no clear leader or only one leader"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/232/;https://c4.sharepoint.com/sites/232
232;26/03/2021;Industry/Company;Technology Risk;30.000.000.000;"[{""CharacteristicText"":""Industry is susceptible to technological advances"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/232/;https://c4.sharepoint.com/sites/232
232;26/03/2021;Industry/Company;Regulatory Framework;20.000.000.000;"[{""CharacteristicText"":""Industry has low degree of regulatory scrutiny"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/232/;https://c4.sharepoint.com/sites/232
232;26/03/2021;Company;Business Model;20.000.000.000;"[{""CharacteristicText"":""Well diversified (products\/geographies) with low customer concentration"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Flexible cost base"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Subscription based business model and\/or longer-term contractual relationships"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/232/;https://c4.sharepoint.com/sites/232
232;26/03/2021;Company;Management & Ownership;30.000.000.000;"[{""CharacteristicText"":""Recent change in management \/ high degree of key man risk"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Aggressive M&A strategy with\r\nfuture acquisitions likely"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/232/;https://c4.sharepoint.com/sites/232
232;26/03/2021;Company;Competitive Positioning;20.000.000.000;"[{""CharacteristicText"":""Leading position or gainer"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/232/;https://c4.sharepoint.com/sites/232
329;27/11/2020;Industry;Market Dynamics;20.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Limited seasonaility and stable working capital"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/329559/;https://c4.sharepoint.com/sites/329559
329;27/11/2020;Industry;Intra-Industry Competition;20.000.000.000;"[{""CharacteristicText"":""Market share is consolidated with top 3-5 players & limited fragmentation of remainder"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/329559/;https://c4.sharepoint.com/sites/329559
329;27/11/2020;Industry/Company;Regulatory Framework;20.000.000.000;"[{""CharacteristicText"":""Low dependecy on regulation or is a beneficiary from regulation in a stable regulatory evironment"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/329559/;https://c4.sharepoint.com/sites/329559
329;27/11/2020;Company;Business Model;20.000.000.000;"[{""CharacteristicText"":""Subscription based business model and\/or longer-term contractual relationships"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Sales are recurring in nature (but not contracturally obligated)"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/329559/;https://c4.sharepoint.com/sites/329559
329;27/11/2020;Company;Management & Ownership;30.000.000.000;"[{""CharacteristicText"":""Experienced management team with limited key person risk"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Industry experiened PE owner \/ pension fund \/ listed company without conentrated ownership (voting rights)"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/329559/;https://c4.sharepoint.com/sites/329559
329;27/11/2020;Company;Competitive Positioning;20.000.000.000;"[{""CharacteristicText"":""Leading position or gainer"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/329559/;https://c4.sharepoint.com/sites/329559
10;01/03/2021;Industry;Market Dynamics;40.000.000.000;"[{""CharacteristicText"":""Majority of revenues exposed to above average cyclical products"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Seasonal industry with volatile working capital"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/109/;https://c4.sharepoint.com/sites/109
10;01/03/2021;Industry;Intra-Industry Competition;20.000.000.000;"[{""CharacteristicText"":""Market share is consolidated with top 3-5 players & limited fragmentation of remainder"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""High barriers to entry"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/109/;https://c4.sharepoint.com/sites/109
10;01/03/2021;Company;Business Model;30.000.000.000;"[{""CharacteristicText"":""Sales are not recurring in nature"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/109/;https://c4.sharepoint.com/sites/109
10;01/03/2021;Company;Management & Ownership;20.000.000.000;"[{""CharacteristicText"":""Experienced management team with limited key person risk"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Industry experiened PE owner \/ pension fund \/ listed company without conentrated ownership (voting rights)"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/109/;https://c4.sharepoint.com/sites/109
10;01/03/2021;Company;Competitive Positioning;20.000.000.000;"[{""CharacteristicText"":""Leading position or gainer"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/109/;https://c4.sharepoint.com/sites/109
43;10/03/2021;Industry;Market Dynamics;20.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Limited seasonaility and stable working capital"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/439/;https://c4.sharepoint.com/sites/439
43;10/03/2021;Industry;Intra-Industry Competition;40.000.000.000;"[{""CharacteristicText"":""Highly fragmented market with no clear leader or only one leader"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/439/;https://c4.sharepoint.com/sites/439
43;10/03/2021;Industry/Company;Regulatory Framework;30.000.000.000;"[{""CharacteristicText"":""Low dependecy on regulation or is a beneficiary from regulation in a stable regulatory evironment"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/439/;https://c4.sharepoint.com/sites/439
43;10/03/2021;Company;Business Model;20.000.000.000;"[{""CharacteristicText"":""Well diversified (products\/geographies) with low customer concentration"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/439/;https://c4.sharepoint.com/sites/439
349;21/04/2021;Industry;Market Dynamics;20.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Positive demographic, consumer & structural trends"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Limited seasonaility and stable working capital"",""CharacteristicInfluence"":""Positive""}]";;https://c4.sharepoint.com/sites/349/;https://c4.sharepoint.com/sites/349
349;21/04/2021;Industry/Company;Regulatory Framework;30.000.000.000;"[{""CharacteristicText"":""Industry has high degree of regulatory scrutiny"",""CharacteristicInfluence"":""Negative""}]";;https://c4.sharepoint.com/sites/349/;https://c4.sharepoint.com/sites/349
349;21/04/2021;Company;Business Model;20.000.000.000;"[{""CharacteristicText"":""Subscription based business model and\/or longer-term contractual relationships"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Sales are recurring in nature (but not contracturally obligated)"",""CharacteristicInfluence"":""Positive""}]";;https://c4.sharepoint.com/sites/349/;https://c4.sharepoint.com/sites/349
349;21/04/2021;Company;Management & Ownership;20.000.000.000;"[{""CharacteristicText"":""Experienced management team with limited key person risk"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Industry experiened PE owner \/ pension fund \/ listed company without conentrated ownership (voting rights)"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""M&A not a big part of strategy"",""CharacteristicInfluence"":""Positive""}]";;https://c4.sharepoint.com/sites/349/;https://c4.sharepoint.com/sites/349
349;21/04/2021;Company;Competitive Positioning;30.000.000.000;"[{""CharacteristicText"":""Clear value proposition \/ reason to exist (e.g. Patent protection, branding, sustaining differentiators)"",""CharacteristicInfluence"":""Positive""}]";;https://c4.sharepoint.com/sites/349/;https://c4.sharepoint.com/sites/349
130;09/03/2021;Industry;Market Dynamics;20.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/130559/;https://c4.sharepoint.com/sites/130559
130;09/03/2021;Industry;Intra-Industry Competition;30.000.000.000;"[{""CharacteristicText"":""Highly fragmented market with no clear leader or only one leader"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/130559/;https://c4.sharepoint.com/sites/130559
130;09/03/2021;Company;Business Model;20.000.000.000;"[{""CharacteristicText"":""Sales are recurring in nature (but not contracturally obligated)"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/130559/;https://c4.sharepoint.com/sites/130559
327;08/03/2021;Industry;Market Dynamics;40.000.000.000;"[{""CharacteristicText"":""Majority of revenues exposed to above average cyclical products"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Seasonal industry with volatile working capital"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/3272/;https://c4.sharepoint.com/sites/3272
327;08/03/2021;Industry;Intra-Industry Competition;30.000.000.000;"[{""CharacteristicText"":""High barriers to entry"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Highly fragmented market with no clear leader or only one leader"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/3272/;https://c4.sharepoint.com/sites/3272
327;08/03/2021;Company;Business Model;30.000.000.000;"[{""CharacteristicText"":""Well diversified (products\/geographies) with low customer concentration"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Sales are not recurring in nature"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/3272/;https://c4.sharepoint.com/sites/3272
120;17/02/2021;Industry;Market Dynamics;40.000.000.000;"[{""CharacteristicText"":""Majority of revenues exposed to above average cyclical products"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Seasonal industry with volatile working capital"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/1209/;https://c4.sharepoint.com/sites/1209
120;17/02/2021;Industry;Intra-Industry Competition;20.000.000.000;"[{""CharacteristicText"":""Market share is consolidated with top 3-5 players & limited fragmentation of remainder"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""High barriers to entry"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/1209/;https://c4.sharepoint.com/sites/1209
120;17/02/2021;Company;Business Model;30.000.000.000;"[{""CharacteristicText"":""Sales are not recurring in nature"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/1209/;https://c4.sharepoint.com/sites/1209
120;17/02/2021;Company;Management & Ownership;40.000.000.000;"[{""CharacteristicText"":""Recent change in management \/ high degree of key man risk"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Aggressive ownership style with mixed track record"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/1209/;https://c4.sharepoint.com/sites/1209
120;17/02/2021;Company;Competitive Positioning;20.000.000.000;"[{""CharacteristicText"":""Clear value proposition \/ reason to exist (e.g. Patent protection, branding, sustaining differentiators)"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/1209/;https://c4.sharepoint.com/sites/1209
385;25/03/2021;Industry;Market Dynamics;40.000.000.000;"[{""CharacteristicText"":""Majority of revenues exposed to above average cyclical products"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Seasonal industry with volatile working capital"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/3859/;https://c4.sharepoint.com/sites/3859
385;25/03/2021;Industry;Intra-Industry Competition;30.000.000.000;"[{""CharacteristicText"":""High barriers to entry"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/3859/;https://c4.sharepoint.com/sites/3859
385;25/03/2021;Company;Business Model;20.000.000.000;"[{""CharacteristicText"":""Well diversified (products\/geographies) with low customer concentration"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Sales are not recurring in nature"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/3859/;https://c4.sharepoint.com/sites/3859
385;25/03/2021;Company;Management & Ownership;40.000.000.000;"[{""CharacteristicText"":""Recent change in management \/ high degree of key man risk"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Aggressive ownership style with mixed track record"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/3859/;https://c4.sharepoint.com/sites/3859
385;25/03/2021;Company;Competitive Positioning;20.000.000.000;"[{""CharacteristicText"":""Leading position or gainer"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/3859/;https://c4.sharepoint.com/sites/3859
357;21/04/2021;Industry;Market Dynamics;20.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/35777/;https://c4.sharepoint.com/sites/35777
357;21/04/2021;Industry;Intra-Industry Competition;40.000.000.000;"[{""CharacteristicText"":""Market pricing has not shown to be rational"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/35777/;https://c4.sharepoint.com/sites/35777
357;21/04/2021;Company;Management & Ownership;40.000.000.000;"[{""CharacteristicText"":""Recent change in management \/ high degree of key man risk"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Aggressive ownership style with mixed track record"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/35777/;https://c4.sharepoint.com/sites/35777
357;21/04/2021;Company;Competitive Positioning;40.000.000.000;"[{""CharacteristicText"":""Clear value proposition \/ reason to exist (e.g. Patent protection, branding, sustaining differentiators)"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Market challenger"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Limited scale \/ limited ability to withstand sustained period of competitive behaviour"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/35777/;https://c4.sharepoint.com/sites/35777
236;28/01/2021;Industry;Market Dynamics;30.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Weak \/ negative demographic, consumer & structural trends"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/236/;https://c4.sharepoint.com/sites/236
236;28/01/2021;Industry;Intra-Industry Competition;40.000.000.000;"[{""CharacteristicText"":""Highly fragmented market with no clear leader or only one leader"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Low barriers to entry"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/236/;https://c4.sharepoint.com/sites/236
236;28/01/2021;Company;Business Model;40.000.000.000;"[{""CharacteristicText"":""High customer and\/or (critical)\r\nsupplier concentration and\/or low\r\ndiversification (product\/geography)"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Weak bargaining power"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/236/;https://c4.sharepoint.com/sites/236
236;28/01/2021;Company;Management & Ownership;20.000.000.000;"[{""CharacteristicText"":""Experienced management team with limited key person risk"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/236/;https://c4.sharepoint.com/sites/236
236;28/01/2021;Company;Competitive Positioning;20.000.000.000;"[{""CharacteristicText"":""Leading position or gainer"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/236/;https://c4.sharepoint.com/sites/236
269;18/03/2021;Industry;Market Dynamics;20.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Limited seasonaility and stable working capital"",""CharacteristicInfluence"":""Positive""}]";;;
269;18/03/2021;Industry;Intra-Industry Competition;30.000.000.000;"[{""CharacteristicText"":""Market share is consolidated with top 3-5 players & limited fragmentation of remainder"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Market pricing has not shown to be rational"",""CharacteristicInfluence"":""Negative""}]";;;
269;18/03/2021;Industry/Company;Technology Risk;40.000.000.000;"[{""CharacteristicText"":""Company is viewed as a disruptee\/threatened by technological change"",""CharacteristicInfluence"":""Negative""}]";;;
269;18/03/2021;Company;Management & Ownership;30.000.000.000;"[{""CharacteristicText"":""Experienced management team with limited key person risk"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Aggressive ownership style with mixed track record"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Aggressive M&A strategy with\r\nfuture acquisitions likely"",""CharacteristicInfluence"":""Negative""}]";;;
269;18/03/2021;Company;Competitive Positioning;30.000.000.000;"[{""CharacteristicText"":""Clear value proposition \/ reason to exist (e.g. Patent protection, branding, sustaining differentiators)"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Market challenger"",""CharacteristicInfluence"":""Negative""}]";;;
138;10/12/2020;Industry;Market Dynamics;20.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Limited seasonaility and stable working capital"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/138/;https://c4.sharepoint.com/sites/138
138;10/12/2020;Industry;Intra-Industry Competition;30.000.000.000;"[{""CharacteristicText"":""High barriers to entry"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/138/;https://c4.sharepoint.com/sites/138
138;10/12/2020;Industry/Company;Technology Risk;40.000.000.000;"[{""CharacteristicText"":""Company is viewed as a disruptee\/threatened by technological change"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Industry is susceptible to technological advances"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/138/;https://c4.sharepoint.com/sites/138
138;10/12/2020;Industry/Company;Regulatory Framework;30.000.000.000;"[{""CharacteristicText"":""Low dependecy on regulation or is a beneficiary from regulation in a stable regulatory evironment"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/138/;https://c4.sharepoint.com/sites/138
138;10/12/2020;Company;Business Model;35.000.000.000;"[{""CharacteristicText"":""Subscription based business model and\/or longer-term contractual relationships"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""High customer and\/or (critical)\r\nsupplier concentration and\/or low\r\ndiversification (product\/geography)"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/138/;https://c4.sharepoint.com/sites/138
138;10/12/2020;Company;Competitive Positioning;25.000.000.000;"[{""CharacteristicText"":""Leading position or gainer"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/138/;https://c4.sharepoint.com/sites/138
